youtube_id,bpm,key,camelot,energy
9MoSBQcspKQ,125,D# minor,2A,0.213073
JIhtokkFCPw,123,D minor,7A,0.138688
J9Zag_Y1W0M,125,B major,1B,0.251785
kybNed_HVzs,125,D minor,7A,0.218202
gCEusevQ_XI,126,G major,9B,0.275237
4xZLcRbhCvE,125,D# minor,2A,0.239614
vWCfNL4K--c,128,D# minor,2A,0.246859
02GDETk9Fp8,125,G minor,6A,0.329687
HgBF4Y5OoiY,126,G minor,6A,0.208523
CK6fBza1A1c,112,A minor,8A,0.218072
I2XqT8reZn4,112,A# major,6B,0.299336
tNXYMlC6Qw8,126,C# minor,12A,0.073731
lq-7mTDlr9Y,112,F minor,4A,0.127181
x_6L2q64qZA,170,G# major,4B,0.150892
69t0XdoXFO0,112,D# minor,2A,0.321204
vMZabNaW4Lk,112,G minor,6A,0.098347
3lT1wgxEGS8,112,F# major,2B,0.074665
JWLGqLIcD9s,115,D major,10B,0.202644
xo4Ao4p7IH4,112,C major,8B,0.334248
KTCmhlM6uz4,170,C# minor,12A,0.155661
EGOGBo61KPc,84,B minor,10A,0.285136
wfRU0DJ4Km4,172,G# major,4B,0.328115
iQmKmzhwnhM,112,C# minor,12A,0.217687
DSOqkEbuNwk,115,C major,8B,0.228623
epLSt-XNvz8,115,D# minor,2A,0.166427
BUHWIYuoOIs,115,C# minor,12A,0.232105
nt1lKQz3J-s,170,E minor,9A,0.195859
od5axYC4MjM,170,C# minor,12A,0.297912
NPlIU8n8yZ0,106,F minor,4A,0.205322
wiCHMnVRC08,110,E minor,9A,0.191614
fv7KluElfLo,117,B minor,10A,0.244572
cdpabKpO-E8,110,C# major,3B,0.229375
6jM98BDtZ3g,156,C minor,5A,0.320536
p2YW1hUcPxA,112,B minor,10A,0.279151
dfWf2qh6kUI,112,C# major,3B,0.157391
bbIdcbCepVA,110,D# minor,2A,0.115644
z6bICslpTfY,108,D minor,7A,0.143355
CS3kFr6KiWk,148,D# minor,2A,0.167939
rNoX7nlRzDg,108,D minor,7A,0.208249
46fbmpNxDZk,108,B minor,10A,0.158702
8bZ3jRYwq1U,106,F# minor,11A,0.207389
eqpm2om0-T8,123,C minor,5A,0.309065
E1qsoCKMhrU,128,D minor,7A,0.256748
Dh6cpfuBm34,126,A minor,8A,0.171408
5-a5tYrwn88,128,C# major,3B,0.180184
HSKkgOfapIs,125,D minor,7A,0.276764
mqCRRcSz6jo,122,C# major,3B,0.171912
YezpzqacweE,123,E minor,9A,0.202608
G0OsuLdAd2g,126,A minor,8A,0.240788
EVnd_I8cOFs,125,E major,12B,0.172006
Vpw79_xZlio,122,G# minor,1A,0.283892
BCcsrFDTb2U,125,D minor,7A,0.22797
rI67gHdBKE8,126,A# minor,3A,0.248987
8nyjaW4P-QA,120,C# major,3B,0.20313
tDKToQnrGTo,108,E minor,9A,0.220091
xkceEY9aEcE,120,D# minor,2A,0.19067
Y5nRAKMn4EI,128,E minor,9A,0.173577
oSo1kklc770,122,F minor,4A,0.21101
nGG7NHl5ovg,122,F minor,4A,0.191826
IBPyeVFUDSQ,125,E minor,9A,0.147835
-psjwMJCc9w,120,A# minor,3A,0.267869
QQRJGgEqMtY,122,B minor,10A,0.313984
yKc3Q7Opi1Y,122,G minor,6A,0.197322
44528MS0918,128,A# minor,3A,0.133398
gbGYePz6y4M,120,E major,12B,0.120724
fATUHEzT93k,125,E minor,9A,0.165843
OWK3X6RvyjU,112,C minor,5A,0.248843
Vpw79_xZlio,122,G# minor,1A,0.283892
RSkDq7k4Ct4,112,A major,11B,0.199493
5j8igipzLqM,110,C major,8B,0.171343
MS5iBqS6G4M,110,D minor,7A,0.234425
IbKymqloqcE,100,D# minor,2A,0.234861
UlBsCBaifoc,128,F minor,4A,0.247438
7sOS3zKUsCo,126,E major,12B,0.112162
7o3TYWHMf5Y,128,A minor,8A,0.107175
IIXk_X7-It4,125,E minor,9A,0.210067
2areiRIZjCM,126,D minor,7A,0.394156
DbJjzKrn__8,125,D# minor,2A,0.254556
UUcczrrd1vY,125,B minor,10A,0.368665
yzQE2Fh7fhE,125,F# minor,11A,0.23794
-iUM_nl5PyU,125,F minor,4A,0.235673
DUhi9TXczrM,104,C# major,3B,0.252868
Ju3UiYuK1s4,122,A# minor,3A,0.158903
kFF0v0FQzEI,120,A# major,6B,0.165675
NF-JX_E8Cww,125,G major,9B,0.215031
4Br5az9TEBw,125,F major,7B,0.27711
PuyGFcgCnj8,165,D major,10B,0.142101
npskw60lsZg,125,G major,9B,0.158234
UBW-7uI5ABw,125,C# minor,12A,0.287754
RdriYvEhJKA,120,D# minor,2A,0.165146
3eI-mF0d03Y,133,D# major,5B,0.189443
QvZC3AFrBhE,126,F minor,4A,0.110742
wAIIc0EobBY,120,C minor,5A,0.272592
rm3cwwAN3dA,104,F# minor,11A,0.140551
5nZ5Fl-7N4I,110,F# minor,11A,0.381567
7dC2UC10u5M,89,D minor,7A,0.086909
NujFi3fCuEw,141,E minor,9A,0.293659
Mr2XO8EAbkI,137,G major,9B,0.348898
SMLlID1DKZQ,81,C minor,5A,0.105
sC4fVnXrvsk,137,E minor,9A,0.169946
6db6SIlSP2g,102,G major,9B,0.183569
PNL8F1mqI0U,129,D# minor,2A,0.29138
7XJkvXlShHs,94,F# minor,11A,0.159107
srpU7j-R8NQ,136,D minor,7A,0.201329
BJqd66aS-EU,128,D minor,7A,0.146185
JobZaRoYhr8,104,E minor,9A,0.223054
s0xBSKMaXX0,129,C# minor,12A,0.125032
5jfFyR-zTbE,122,D minor,7A,0.129169
ha2qsDLnFGs,123,E minor,9A,0.316101
NuEuN7NySu0,144,D# minor,2A,0.347593
cykGnl1KvcM,110,D major,10B,0.197408
uw8M7CSY740,122,D minor,7A,0.211343
1dbGmKqHsAs,133,D major,10B,0.11547
27U4nStHmbw,131,D# minor,2A,0.266665
inext7LSIA0,100,B major,1B,0.106231
0BvE252-sho,131,E minor,9A,0.182909
7Ej6g3KhinM,120,A# minor,3A,0.016441
wC5hR3a8tCM,170,G major,9B,0.305616
I5TNZxkCwe4,134,E minor,9A,0.265606
5tk1Ce1SnPo,140,C# minor,12A,0.23339
QFyryg0lVi8,148,G major,9B,0.354153
ahG_zxXQtHM,123,C minor,5A,0.347933
XINlEYXA3k0,128,C# major,3B,0.26568
NtNkhZMuzTI,125,A# major,6B,0.168192
KkIbMg2lSsQ,125,C# major,3B,0.323447
AHTTqKuKH0w,128,B minor,10A,0.117444
UlBsCBaifoc,128,F minor,4A,0.247438
lDE8Qtp-e_g,125,D# minor,2A,0.170597
J9Zag_Y1W0M,125,B major,1B,0.251785
cyPaI_WUW1I,125,F# minor,11A,0.295179
_-kEwOP9lRE,128,B major,1B,0.14046
AZKYHO3-o7s,125,B major,1B,0.21267
5dgimjMhAIk,125,D# minor,2A,0.114696
agT8iN6F0Dg,125,C# major,3B,0.221991
AxQokd8Wx30,128,D# minor,2A,0.178579
8wAVvWXU4QM,125,F minor,4A,0.328618
ZSn6ovr1JnM,125,C# minor,12A,0.228833
K_SiNVt_Kf0,128,C minor,5A,0.094921
qsyVidc2aFs,125,D# minor,2A,0.199057
Awymg9LwMs0,128,C major,8B,0.230102
A20lGTUfGlc,128,E minor,9A,0.060865
s_uL5cYfY3U,120,F minor,4A,0.162827
6o6-TISJqaQ,125,F minor,4A,0.256054
aQhBwvOLG8U,117,A# minor,3A,0.092985
0wnSeMXYRfE,125,D# minor,2A,0.190829
kL5KQeI63ak,120,F minor,4A,0.170032
MiE0yM33SKc,122,F minor,4A,0.112893
Tgf9Zp4mbAc,122,G major,9B,0.235014
ZAMkgQCNjxY,123,D# minor,2A,0.076485
6QjiFLW1QIU,117,F# minor,11A,0.197464
IXHWrQNW8iA,120,D# minor,2A,0.231726
n8_BYJgDafY,122,A# major,6B,0.186742
k6zqHsOygw8,122,D# minor,2A,0.065431
wR5Hn1Yv554,125,F# major,2B,0.276348
SMAvJnBBv2Q,125,C# minor,12A,0.136425
JonuLqgoQI8,125,D# minor,2A,0.138875
71WlpY2lwpk,181,C major,8B,0.188628
gWJQ5JQwaA0,148,F# major,2B,0.271843
U9_BA6F7YZY,141,C minor,5A,0.148267
qPjAwl5uNLM,123,B major,1B,0.293573
8KZNRjjdOXs,112,F# major,2B,0.098483
YZcnYTHofBw,137,A# minor,3A,0.123599
lzZ_apqRGcQ,137,D# minor,2A,0.319687
qzJP7SXEC_A,125,A major,11B,0.1032
b-Zr79zzHXQ,141,D minor,7A,0.243008
gsd2x2rHscA,148,C minor,5A,0.198889
P4Xu1HkUbwg,152,A# major,6B,0.186959
P6BKBh-ncZE,152,B minor,10A,0.225208
kpxP6_Oa2ao,106,F# major,2B,0.340721
x2hQm_gwjS8,156,C minor,5A,0.234904
8IQb8qc6dm0,148,C minor,5A,0.231164
e003bbIouqA,120,B minor,10A,0.164518
oyRr80LLOPU,167,A# minor,3A,0.087779
RAcUkFBd4Nk,104,C# minor,12A,0.233782
PRDObLpInIQ,152,C# minor,12A,0.220463
hTd9jTlxgDA,156,E minor,9A,0.180371
XVhueOZlV9M,110,F# minor,11A,0.156339
Tgea8e2x7Tk,110,C# minor,12A,0.487716
StO8BQHxNCc,115,C minor,5A,0.153026
Rvzw1qrYW-M,112,D# minor,2A,0.239303
Gg5IHudKBKg,110,F# minor,11A,0.315584
diiixy716wU,110,G major,9B,0.389398
ISdKpNXe_zM,106,D# minor,2A,0.144865
sHV872-k0XU,110,D# minor,2A,0.191447
iHn7laJh2ro,110,D minor,7A,0.366124
9LV5YJaNcWs,115,D# minor,2A,0.246293
dT2rQkeeg74,110,B major,1B,0.175594
On9s3JXlucQ,110,F minor,4A,0.159924
xj-MPJ5glYc,115,C# minor,12A,0.17599
hyDrfiVsW34,120,A# major,6B,0.142079
CvfLziX2lRE,120,G minor,6A,0.090351
vTqNzpbnYWY,115,A# minor,3A,0.3028
ofZrHhqxyr0,128,G# major,4B,0.126894
3w0RtcY-y_w,122,G# minor,1A,0.199716
KqfJOqvdqMU,120,C# minor,12A,0.206501
g5nZ-mHKAQE,123,C# minor,12A,0.169817
6Eu9IBxAiwg,126,D# minor,2A,0.12253
49P4GUA4AIY,120,G# minor,1A,0.15118
56UfxHGjjOQ,122,D minor,7A,0.176287
Y6tDVs4sbAE,125,D# minor,2A,0.070032
WJ-uXuyKMLY,122,A# minor,3A,0.169965
dHcv51Sg6JQ,131,A# major,6B,0.170752
DXhqDeTSEl4,117,D minor,7A,0.145071
DphBStV297E,102,C# minor,12A,0.158372
4kH01qvet9s,125,F minor,4A,0.240753
dW4iIF5bAeM,125,G minor,6A,0.218181
aS3q8dMjUm8,125,D# minor,2A,0.339729
NCwuhu7FyEQ,126,E minor,9A,0.142795
obSjxfbbsX4,126,G minor,6A,0.232037
G08G_3BzDfM,125,D major,10B,0.230056
hGZAVJL8Xc8,128,C# major,3B,0.227099
Q_WTeNkuVuE,125,D# minor,2A,0.340484
HkRPWfiww1U,126,F major,7B,0.316714
vcdJeBLahmg,125,F# minor,11A,0.326677
-gPRh_w-DN0,126,A minor,8A,0.284837
AnwiOdtLF3E,94,E minor,9A,0.193256
auJP8ffYo-8,120,F major,7B,0.12248
teiNqSpV8JA,125,C minor,5A,0.275171
5vJgPv9vHMg,125,C major,8B,0.24295
xBG-3wfrE4E,141,A# major,6B,0.246136
DoxUiqUpkw4,128,C# major,3B,0.207731
2MVvzHEQiP0,134,C major,8B,0.142111
D_cYJ7mj0hQ,137,A minor,8A,0.222613
nW98i81E5Ck,131,A# major,6B,0.104209
PGhdnf7wK-k,115,D major,10B,0.432433
3xH1ys9MnY0,125,E minor,9A,0.132577
0qhzTJ4cBKs,134,E minor,9A,0.145121
Yd3LKOwOOPs,137,B minor,10A,0.20273
KmxyL--7WWE,136,G major,9B,0.349224
RaZy3a2WtDY,141,D minor,7A,0.154248
Y6FfuHaVAKI,141,G minor,6A,0.116417
MHu7-m-xtEE,140,F minor,4A,0.256611
BQKlf1lbllU,140,E minor,9A,0.21248
eOHNgebNdU0,134,C major,8B,0.276019
kfvTJf8hTKY,141,E major,12B,0.172442
7qaFEoDCWdY,141,G minor,6A,0.312865
eymzifegeK4,140,D minor,7A,0.287764
3THTQ8qXTHY,115,A minor,8A,0.31282
UcJD-jIVXAI,112,A# minor,3A,0.286498
WdYGR-zE97U,112,C# major,3B,0.15613
NtTwwC0LL2A,112,A# major,6B,0.120343
oGVOXgfjdeg,125,F# minor,11A,0.098621
IoyUB-xfnvM,112,F# minor,11A,0.201984
WZwbtocfvuc,112,C major,8B,0.292803
W2g0ZJe1lWk,112,F# major,2B,0.220539
9MvJNVAIEsc,172,A minor,8A,0.134085
A3OaEEH2eKo,112,D minor,7A,0.278271
7AnyCPvYg9s,115,G minor,6A,0.181045
EqU3Mw1w564,112,F minor,4A,0.159625
Tpe4id7cLnU,115,G minor,6A,0.222015
hCuqqwE9j_s,112,F# minor,11A,0.158586
rGueP7Wr0SI,120,C# minor,12A,0.121018
UpRSvqrrxTg,122,F minor,4A,0.203666
xSSy3aHsG6c,122,D# minor,2A,0.155896
yHbl4aISy3E,108,D# minor,2A,0.289506
GgUYJdzhY9s,87,C minor,5A,0.189738
6JHA463Pb5U,128,A# minor,3A,0.398012
Y4C-CZ8Mp4Y,129,G minor,6A,0.111469
AfojbUldMz4,129,G# major,4B,0.236783
Ua2WdkqlCQU,134,C# minor,12A,0.244258
7fnTxm1u_34,128,D# major,5B,0.142936
sBe6e7c9zpk,122,F# major,2B,0.156078
RUQpnLe5kh4,125,F# minor,11A,0.083668
rJSk6K-Na5k,108,A# major,6B,0.091644
Eik39PmTDe0,128,E minor,9A,0.075943
qsH4UpUFlKo,128,D# minor,2A,0.209922
scdJvIzOvHc,120,A major,11B,0.160683
BUgSJt7Q7gw,120,F# major,2B,0.113945
RuVKBwcjAQw,129,C major,8B,0.376885
VNHojE47oKk,126,C minor,5A,0.290091
TZZcOxE_vs4,125,B major,1B,0.197528
7_VhS-bEyGo,129,C minor,5A,0.135778
aLGLtcqc0cg,129,G# minor,1A,0.238785
qs0ilxQhyCw,129,C minor,5A,0.278377
0yriptZXqsw,129,B minor,10A,0.277626
Rc2_G8tgBdk,125,F minor,4A,0.181608
09u876Twbnk,128,G minor,6A,0.315385
UA1pzZ5oW0U,125,F# minor,11A,0.155018
QY6nNFenaa0,137,A minor,8A,0.177995
osXkofrtoaY,115,F minor,4A,0.077735
x0y9Ze-uNiM,112,A minor,8A,0.230432
pXn7ml3j6lc,117,C minor,5A,0.179315
OCpLTCU0MHo,120,D minor,7A,0.127499
5eXmnGLE9Bg,115,D minor,7A,0.24032
LVOu4QpHKEg,125,D minor,7A,0.178307
lOxm1gsnOPM,110,E major,12B,0.088038
cdybb52ejd8,161,A major,11B,0.074096
WOTnX9mhZJQ,89,F# minor,11A,0.189004
WNM9kRyFP9Y,115,A major,11B,0.229188
q_pGluu2P2I,115,B minor,10A,0.266546
AK9zKafP-TA,117,A# minor,3A,0.052117
xU9o-aCXqCg,120,F# minor,11A,0.13181
SV85YuN36-8,88,E major,12B,0.15084
iLtic3QwU7c,120,A# minor,3A,0.250584
w-xVjLW-Ibc,125,G minor,6A,0.206412
VFC37eM6PxM,125,E major,12B,0.168699
GJ8ttTsFyr4,104,A# minor,3A,0.079184
d16OAtlv9MM,128,D# minor,2A,0.208672
PzA3widGb50,128,D# minor,2A,0.285397
Tk278_rA5b8,137,C# minor,12A,0.12854
kg9uCWYZyjQ,108,B minor,10A,0.208016
2HgvgzDS0-E,110,C minor,5A,0.157001
YWUpgzRK1vc,112,F# minor,11A,0.153267
PIDtvUIxYW0,122,C minor,5A,0.124877
-3UzjjPW4qQ,122,D# minor,2A,0.101084
Xb5SjRgj1FQ,115,C minor,5A,0.270361
Ukx64qz5Emo,112,C# minor,12A,0.067525
8sEIVI45y0o,102,F major,7B,0.174986
dsyfYc9zfLY,115,D minor,7A,0.30144
IjMkkQQpMNA,117,D# minor,2A,0.186484
1GOwpfbSc0o,112,C major,8B,0.283159
8NGK3tBaOy4,117,F# minor,11A,0.317027
Spvyr8Jr7ks,87,F minor,4A,0.457701
t51yxCWO5L0,88,C# minor,12A,0.427016
reRsGzxVmEU,117,A major,11B,0.356534
RyXe1n80u2g,115,D minor,7A,0.3017
1Sm9YoDOTks,117,A# minor,3A,0.431561
t3WWJFcn4Q0,117,F major,7B,0.302856
5U13S_i6OSs,87,G# minor,1A,0.20861
CJtmYxzEH6Y,137,F# minor,11A,0.312548
IgRpl7sCYew,115,F# minor,11A,0.310471
pfin_-22piQ,88,G major,9B,0.268597
XLAvRbxQvjs,115,C minor,5A,0.255623
0KehIVgAhhI,115,E minor,9A,0.305717
GSKTBqapqQg,115,G minor,6A,0.362261
GmRao_UnAL4,117,F# minor,11A,0.158112
MSWdbjUp-s8,115,D# minor,2A,0.276288
5yqb6h2wzME,87,D# minor,2A,0.407892
bFlC9E-5WmY,128,F minor,4A,0.369099
MPBIq-zt1eE,128,C# minor,12A,0.159341
4GEBOfp-yJk,125,D# minor,2A,0.289764
HVmN_SdxI9w,126,A# minor,3A,0.195164
XaV38_hwyT0,125,D minor,7A,0.232009
2gSqP8igTP0,128,D# minor,2A,0.320839
OvZrLzm_m0E,125,E major,12B,0.255734
gtrixK4t0RU,129,C# minor,12A,0.063482
9gScmn2kJ-s,128,D minor,7A,0.239582
2kaqUd2RK1A,108,F# major,2B,0.231333
VFSCEaMaqDQ,120,E minor,9A,0.173797
5LEepShBWRQ,85,D major,10B,0.329722
dbEvY2_ZqIw,112,F# major,2B,0.088177
1JQmXt2tHrY,125,E minor,9A,0.253547
I1LGCC2zwu8,125,B minor,10A,0.249343
aeqxWNycT7M,125,F major,7B,0.211983
ZV56gbT3PeU,125,F minor,4A,0.154994
_64CwilPWGA,131,F# minor,11A,0.221805
KHhEr4VLnPc,128,C# minor,12A,0.204646
b8o4xH2CaRA,120,E major,12B,0.300989
f3yv2k_gJ8c,120,D# minor,2A,0.363825
9_yLnv482Og,108,D minor,7A,0.212899
5esoglXm-0I,141,F# minor,11A,0.242502
KFPpN7jZB2o,115,B minor,10A,0.08371
5DNVSHm5zr4,161,A minor,8A,0.257872
GuxcAuoCaqg,85,F# minor,11A,0.346768
jtPSCW9xh_s,89,B major,1B,0.233944
hOJxj-bODxs,125,B minor,10A,0.192753
xMsp5xRb_fg,128,C# minor,12A,0.036991
NigIYTWco88,117,F major,7B,0.348897
7goRA5AEY4M,115,G# major,4B,0.138158
sQMhfT7DkyQ,117,F minor,4A,0.132747
YrPd0sh4fiw,88,G# minor,1A,0.250999
nJIzu6u6B8Y,88,C# major,3B,0.260923
DNz1zCl57So,176,D minor,7A,0.390596
j_ZFw8mIu9Q,112,C major,8B,0.244686
wSlmirKtKN8,115,C# major,3B,0.199194
n5cCYpxYccA,115,C# major,3B,0.288864
AuKQldGNTfw,87,C# minor,12A,0.384381
Cz89yYpEhb8,176,A# minor,3A,0.159656
QOQIoUq4GWg,117,C major,8B,0.317792
0MAOP__IFOE,87,A minor,8A,0.155377
bQQYjhtB_78,87,C major,8B,0.252056
U_p1s055Phg,117,F major,7B,0.144952
DteINIU3pwk,87,E minor,9A,0.391274
reRsGzxVmEU,117,A major,11B,0.356534
sZL8YJIKp5w,117,C minor,5A,0.178613
RyXe1n80u2g,115,D minor,7A,0.3017
acrASL2taK0,115,B major,1B,0.270676
aGIoPPaIxwM,117,E major,12B,0.080811
vi8YikFImME,88,G# major,4B,0.293464
P9ZQOyja4yE,125,F# minor,11A,0.411812
cSCsiPueHm4,126,A minor,8A,0.290673
CGL4EzZgc8k,129,C major,8B,0.413376
Ldmj8c51Seo,125,D minor,7A,0.334686
tizaBAaNKJI,129,D minor,7A,0.378801
N1LIj7Xc7Fw,128,F minor,4A,0.211264
j699v0lL-WA,126,C minor,5A,0.34124
Gjzxqi5WKa4,125,F minor,4A,0.291432
l5zdx_hwzO0,131,D minor,7A,0.212073
U_EI-m2zlx4,126,G# major,4B,0.126037
DurS0MLX26Q,129,G minor,6A,0.236696
fIpHHfFCmVM,128,D# minor,2A,0.281408
yDxehw9zc6o,106,D# minor,2A,0.204264
fPTFyPj5N_Q,78,A major,11B,0.212409
dfGmoXU2heg,110,E major,12B,0.148383
4Zy7kiOznKU,112,A major,11B,0.222916
v00RQms9QiM,100,G major,9B,0.337877
wjrg3CMjUrU,125,E minor,9A,0.109589
3bxtUGxjXTA,134,C major,8B,0.151735
wIfWJI4uapM,117,B major,1B,0.194353
v7WAHnZPIX0,144,F# minor,11A,0.062594
osFOgk0HUbo,99,F minor,4A,0.189748
4-DBQCuBpOk,120,C# minor,12A,0.269116
S8ZTVkKM_II,134,A# minor,3A,0.235718
YHQRVoIoSXs,122,D# minor,2A,0.226702
qC2p41z6jLg,122,D major,10B,0.414328
jvvAmJsnyPA,125,C# minor,12A,0.169909
WKpR2ct8dE8,126,C# minor,12A,0.320446
l6xEvfJyY4c,126,A minor,8A,0.210941
tTGzYOISwtE,125,F# major,2B,0.25373
lkv8RTJEloM,123,D minor,7A,0.235467
IaMBwmXwrpA,128,B major,1B,0.302846
Lq6GAdlLUkg,128,F# major,2B,0.314974
kuwb1BYT2E8,126,A# minor,3A,0.261589
29f3iHXRS5w,125,E minor,9A,0.271171
f2tRp6lFlcI,125,E minor,9A,0.202156
h-O5zZrjJgs,125,D# minor,2A,0.128111
Qji8zlqlnZY,125,E minor,9A,0.231153
5uiMtQV_RAk,123,C minor,5A,0.222443
